May 01 20:37:30 lvl2: 	EmulationStation - v2.10.0rp-dev, built May  1 2021 - 01:07:52
May 01 20:37:30 lvl2: 	Parsing XML file "/home/xerocuil/Applications/EmulationStation/resources/mamenames.xml"...
May 01 20:37:30 lvl2: 	Parsing XML file "/home/xerocuil/Applications/EmulationStation/resources/mamebioses.xml"...
May 01 20:37:30 lvl2: 	Parsing XML file "/home/xerocuil/Applications/EmulationStation/resources/mamedevices.xml"...
May 01 20:37:30 lvl2: 	Creating window...
May 01 20:37:31 lvl2: 	Created window successfully.
May 01 20:37:31 lvl2: 	GL vendor:   Intel Open Source Technology Center
May 01 20:37:31 lvl2: 	GL renderer: Mesa DRI Intel(R) HD Graphics 2500 (IVB GT1)
May 01 20:37:31 lvl2: 	GL version:  3.0 Mesa 20.2.6
May 01 20:37:31 lvl2: 	Checking available OpenGL extensions...
May 01 20:37:31 lvl2: 	 ARB_texture_non_power_of_two: ok
May 01 20:37:31 lvl2: 	Added unconfigured joystick Microsoft Microsoft® SideWinder™ X5 Mouse Consumer Control (GUID: 030000005e0400003607000011010000, instance ID: 0, device index: 0).
May 01 20:37:31 lvl2: 	Loading system config file /home/xerocuil/.emulationstation/es_systems.cfg...
May 01 20:37:31 lvl1: 	  Unknown platform for system "apps" (platform "apps" from list "apps")
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Applications/Empr/launchers/apps" is not a directory!
May 01 20:37:31 lvl2: 	Parsing XML file "/home/xerocuil/.emulationstation/gamelists/apps/gamelist.xml"...
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/steam.app" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/DS4 Options/ds4-two.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/kodi.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/retroarch.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/youtube.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/DS4 Connect/ds4-two.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	System "apps" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	  Unknown platform for system "steam" (platform "steam" from list "steam")
May 01 20:37:31 lvl2: 	Parsing XML file "/home/xerocuil/.emulationstation/gamelists/pc/gamelist.xml"...
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/pc/thug-2.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/pc/hat-in-time.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/pc/toy-story-2.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/pc/claw.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/pc/bloodstained.desktop" does not exist! Ignoring.
